effect	time	lit	sum	lit_srgb	sum_srgb
Acid Rain Damage Target	0.15	0	0	65536	62740
Acid Rain Damage Target	0.30	0	0	65536	62740
Acid Rain Damage Target	0.50	9	5	65536	62744
Acid Rain Damage Target	0.75	44	22	65536	62756
Acid Rain Damage Target	1.00	58	29	65536	62761
Acid Rain Damage Target	1.50	234	134	65536	62844
Acid Rain Damage Target	2.00	41	14	65536	62754
Acid Rain Damage Target	3.00	0	0	65536	62740
AcidSpraySweepAttack	0.15	38	23	65536	62758
AcidSpraySweepAttack	0.30	72	67	65536	62794
AcidSpraySweepAttack	0.50	119	117	65536	62831
AcidSpraySweepAttack	0.75	110	105	65536	62821
AcidSpraySweepAttack	1.00	109	100	65536	62819
AcidSpraySweepAttack	1.50	101	107	65536	62824
AcidSpraySweepAttack	2.00	92	99	65536	62819
AcidSpraySweepAttack	3.00	118	117	65536	62832
Air to Ground Big	0.15	248	204	65536	62887
Air to Ground Big	0.30	256	227	65536	62905
Air to Ground Big	0.50	99	90	65536	62803
Air to Ground Big	0.75	99	90	65536	62803
Air to Ground Big	1.00	244	211	65536	62895
Air to Ground Big	1.50	320	283	65536	62947
Air to Ground Big	2.00	0	0	65536	62741
Air to Ground Big	3.00	0	0	65536	62740
AlphaWarriorEffect	0.15	561	642	65536	63258
AlphaWarriorEffect	0.30	741	773	65536	63362
AlphaWarriorEffect	0.50	988	923	65536	63482
AlphaWarriorEffect	0.75	1037	745	65536	63338
AlphaWarriorEffect	1.00	171	85	65536	62799
AlphaWarriorEffect	1.50	3	1	65536	62745
AlphaWarriorEffect	2.00	0	0	65536	62742
AlphaWarriorEffect	3.00	0	0	65536	62740
AmbushEffect	0.15	32	21	65536	62740
AmbushEffect	0.30	50	28	65536	62727
AmbushEffect	0.50	78	33	65536	62712
AmbushEffect	0.75	664	760	65536	63308
AmbushEffect	1.00	836	675	65536	63185
AmbushEffect	1.50	691	425	65536	63025
AmbushEffect	2.00	0	0	65536	62739
AmbushEffect	3.00	0	0	65536	62740
Antimatter Explosion	0.15	0	0	65536	62741
Antimatter Explosion	0.30	604	608	65536	63207
Antimatter Explosion	0.50	564	575	65536	63178
Antimatter Explosion	0.75	517	549	65536	63152
Antimatter Explosion	1.00	578	713	65536	63280
Antimatter Explosion	1.50	2614	3395	65536	65395
Antimatter Explosion	2.00	1421	541	65536	63107
Antimatter Explosion	3.00	113	77	65536	62804
Arco-Flagellant Strike	0.15	119	123	65536	62835
Arco-Flagellant Strike	0.30	19	7	65536	62746
Arco-Flagellant Strike	0.50	0	0	65536	62741
Arco-Flagellant Strike	0.75	17	7	65536	62745
Arco-Flagellant Strike	1.00	2	1	65536	62742
Arco-Flagellant Strike	1.50	0	0	65536	62741
Arco-Flagellant Strike	2.00	0	0	65536	62740
Arco-Flagellant Strike	3.00	0	0	65536	62740
ArdAsNailsEffect	0.15	682	851	65536	63409
ArdAsNailsEffect	0.30	1065	1159	65536	63666
ArdAsNailsEffect	0.50	1222	1236	65536	63741
ArdAsNailsEffect	0.75	1219	1162	65536	63690
ArdAsNailsEffect	1.00	1124	891	65536	63486
ArdAsNailsEffect	1.50	606	272	65536	62953
ArdAsNailsEffect	2.00	2	2	65536	62742
ArdAsNailsEffect	3.00	0	0	65536	62740
Armor_Necron	0.15	0	0	65536	62740
Armor_Necron	0.30	22	8	65536	62745
Armor_Necron	0.50	50	33	65536	62766
Armor_Necron	0.75	58	48	65536	62780
Armor_Necron	1.00	50	44	65536	62777
Armor_Necron	1.50	50	43	65536	62776
Armor_Necron	2.00	56	47	65536	62779
Armor_Necron	3.00	0	0	65536	62740
ArmourEffect	0.15	215	226	65536	62930
ArmourEffect	0.30	761	702	65536	63290
ArmourEffect	0.50	843	814	65536	63382
ArmourEffect	0.75	865	749	65536	63325
ArmourEffect	1.00	517	265	65536	62946
ArmourEffect	1.50	0	0	65536	62740
ArmourEffect	2.00	0	0	65536	62740
ArmourEffect	3.00	0	0	65536	62740
ArmourEffect_Bladeguard_Shield	0.15	70	156	65536	62857
ArmourEffect_Bladeguard_Shield	0.30	99	222	65536	62906
ArmourEffect_Bladeguard_Shield	0.50	159	288	65536	62968
ArmourEffect_Bladeguard_Shield	0.75	165	242	65536	62940
ArmourEffect_Bladeguard_Shield	1.00	165	239	65536	62939
ArmourEffect_Bladeguard_Shield	1.50	875	783	65536	63361
ArmourEffect_Bladeguard_Shield	2.00	198	175	65536	62878
ArmourEffect_Bladeguard_Shield	3.00	0	0	65536	62740
ArmourEffect_Nurgle	0.15	933	677	65536	63279
ArmourEffect_Nurgle	0.30	956	688	65536	63284
ArmourEffect_Nurgle	0.50	905	619	65536	63222
ArmourEffect_Nurgle	0.75	785	479	65536	63104
ArmourEffect_Nurgle	1.00	586	323	65536	62976
ArmourEffect_Nurgle	1.50	74	33	65536	62766
ArmourEffect_Nurgle	2.00	0	0	65536	62740
ArmourEffect_Nurgle	3.00	0	0	65536	62740
ArtificeEffect	0.15	2372	1941	65536	64312
ArtificeEffect	0.30	2458	2434	65536	64702
ArtificeEffect	0.50	2475	2495	65536	64755
ArtificeEffect	0.75	2376	1875	65536	64255
ArtificeEffect	1.00	84	76	65536	62801
ArtificeEffect	1.50	0	0	65536	62740
ArtificeEffect	2.00	0	0	65536	62740
ArtificeEffect	3.00	0	0	65536	62740
Artillery Ground	0.15	0	0	65536	62740
Artillery Ground	0.30	0	0	65536	62740
Artillery Ground	0.50	0	0	65536	62740
Artillery Ground	0.75	0	0	65536	62740
Artillery Ground	1.00	517	529	65536	63112
Artillery Ground	1.50	0	0	65536	62740
Artillery Ground	2.00	0	0	65536	62740
Artillery Ground	3.00	0	0	65536	62740
Artillery Manticore down 1x	0.15	62	55	65536	62782
Artillery Manticore down 1x	0.30	51	48	65536	62777
Artillery Manticore down 1x	0.50	68	58	65536	62784
Artillery Manticore down 1x	0.75	0	0	65536	62740
Artillery Manticore down 1x	1.00	0	0	65536	62740
Artillery Manticore down 1x	1.50	0	0	65536	62740
Artillery Manticore down 1x	2.00	0	0	65536	62740
Artillery Manticore down 1x	3.00	0	0	65536	62740
Artillery Manticore down 2x spread	0.15	232	228	65536	62915
Artillery Manticore down 2x spread	0.30	441	432	65536	63072
Artillery Manticore down 2x spread	0.50	556	507	65536	63129
Artillery Manticore down 2x spread	0.75	0	0	65536	62740
Artillery Manticore down 2x spread	1.00	0	0	65536	62740
Artillery Manticore down 2x spread	1.50	0	0	65536	62740
Artillery Manticore down 2x spread	2.00	0	0	65536	62740
Artillery Manticore down 2x spread	3.00	0	0	65536	62740
Artillery Manticore down 4x	0.15	52	46	65536	62776
Artillery Manticore down 4x	0.30	88	81	65536	62803
Artillery Manticore down 4x	0.50	217	185	65536	62880
Artillery Manticore down 4x	0.75	99	91	65536	62810
Artillery Manticore down 4x	1.00	0	0	65536	62740
Artillery Manticore down 4x	1.50	0	0	65536	62740
Artillery Manticore down 4x	2.00	0	0	65536	62740
Artillery Manticore down 4x	3.00	0	0	65536	62740
Artillery Manticore down 4x spread	0.15	229	210	65536	62900
Artillery Manticore down 4x spread	0.30	419	390	65536	63039
Artillery Manticore down 4x spread	0.50	933	848	65536	63391
Artillery Manticore down 4x spread	0.75	463	431	65536	63071
Artillery Manticore down 4x spread	1.00	0	0	65536	62740
Artillery Manticore down 4x spread	1.50	0	0	65536	62740
Artillery Manticore down 4x spread	2.00	0	0	65536	62740
Artillery Manticore down 4x spread	3.00	0	0	65536	62740
Artillery Manticore up 2x	0.15	190	77	65536	62759
Artillery Manticore up 2x	0.30	476	154	65536	62739
Artillery Manticore up 2x	0.50	161	115	65536	62780
Artillery Manticore up 2x	0.75	42	15	65536	62750
Artillery Manticore up 2x	1.00	14	5	65536	62746
Artillery Manticore up 2x	1.50	0	0	65536	62740
Artillery Manticore up 2x	2.00	0	0	65536	62740
Artillery Manticore up 2x	3.00	0	0	65536	62740
Artillery Manticore up 4x	0.15	193	78	65536	62760
Artillery Manticore up 4x	0.30	476	154	65536	62740
Artillery Manticore up 4x	0.50	459	231	65536	62811
Artillery Manticore up 4x	0.75	460	163	65536	62760
Artillery Manticore up 4x	1.00	57	21	65536	62755
Artillery Manticore up 4x	1.50	0	0	65536	62741
Artillery Manticore up 4x	2.00	0	0	65536	62740
Artillery Manticore up 4x	3.00	0	0	65536	62740
Atk_BulletImpact_Vox-pulse	0.15	34	28	65536	62763
Atk_BulletImpact_Vox-pulse	0.30	38	27	65536	62763
Atk_BulletImpact_Vox-pulse	0.50	0	0	65536	62740
Atk_BulletImpact_Vox-pulse	0.75	0	0	65536	62740
Atk_BulletImpact_Vox-pulse	1.00	0	0	65536	62740
Atk_BulletImpact_Vox-pulse	1.50	0	0	65536	62740
Atk_BulletImpact_Vox-pulse	2.00	0	0	65536	62740
Atk_BulletImpact_Vox-pulse	3.00	0	0	65536	62740
Atk_BulletImpact_Vox-pulse digital	0.15	21	20	65536	62756
Atk_BulletImpact_Vox-pulse digital	0.30	38	34	65536	62768
Atk_BulletImpact_Vox-pulse digital	0.50	0	0	65536	62740
Atk_BulletImpact_Vox-pulse digital	0.75	0	0	65536	62740
Atk_BulletImpact_Vox-pulse digital	1.00	0	0	65536	62740
Atk_BulletImpact_Vox-pulse digital	1.50	0	0	65536	62740
